篩	筛
篳	筚
簀	箦
簍	篓
簑	蓑
簒	篡
簞	箪
簡	简
簣	篑
簫	箫
簮	簪
簷	檐
簹	筜
簽	签
簾	帘
籃	篮
籌	筹
籐	藤
籑	馔
籙	箓
籛	篯
籜	箨
籟	籁
籠	笼
籤	签
籨	奁
籩	笾
籪	簖
籬	篱
籮	箩
籲	吁
粃	秕
粇	糠 粳
粦	磷
粧	妆
粰	麸
粵	粤
粺	稗
糉	粽
糝	糁
糞	粪
糧	粮
糰	团
糲	粝
糴	籴
糶	粜
糺	纠
糾	纠
紀	纪
紂	纣
紃	𬘓
約	约
紅	红
紆	纡
紇	纥
紈	纨
紉	纫
紋	纹
納	纳
紐	纽
紓	纾
純	纯
紕	纰
紖	纼
紗	纱
紘	纮
紙	纸
級	级
紛	纷
紜	纭
紝	纴
紞	𬘘
紡	纺
紥	扎
紬	绸
紮	扎
細	细
紱	绂
紲	绁
紳	绅
紵	纻
紹	绍
紺	绀
紼	绋
紿	绐
絀	绌
終	终
絃	弦
組	组
絅	䌹
絆	绊
絎	绗
絏	绁
結	结
絕	绝
絛	绦
絜	絜 洁
絝	绔
絞	绞
絡	络
絢	绚
給	给
絨	绒
絪	𬘡
絰	绖
統	统
絲	丝
絳	绛
絶	绝
絹	绢
絺	𫄨
綁	绑
綃	绡
綄	𬘫
綆	绠
綈	绨
綉	绣
綌	绤
綎	𬘩
綏	绥
綑	捆
經	经
綖	𫄧
綜	综
綝	𬘭
綠	绿
綡	𫟅
綢	绸
綣	绻
綧	𬘯
綪	𬘬
綫	线
綬	绶
維	维
綯	绹
綰	绾
綱	纲
網	网
綳	绷
綴	缀
綵	彩
綸	纶
綹	绺
綺	绮
綻	绽
綽	绰
綾	绫
綿	绵
緄	绲
緇	缁
緊	紧
緋	绯
緐	繁
緑	绿
緒	绪
緔	绱
緗	缃
緘	缄
緙	缂
線	线 缐
緜	绵
緝	缉
緞	缎
締	缔
緡	缗
緣	缘
緥	褓
緦	缌
編	编
緩	缓
緬	缅
緯	纬
緱	缑
緲	缈
練	练
緹	缇
緻	致
緼	缊
縈	萦
縉	缙
縊	缢
縋	缒
縐	绉
縑	缣
縕	缊
縗	缞
縚	绦
縛	缚
縝	缜
縞	缟
縟	缛
縣	县
縧	绦
縫	缝
縭	缡
縮	缩
縯	𬙂
縱	纵
縲	缧
縴	纤
縵	缦
縶	絷
縷	缕
縹	缥
總	总
績	绩
繃	绷
繅	缫
繆	缪
繒	缯
織	织
繕	缮
繖	伞
繙	翻
繚	缭
繞	绕
繡	绣
繦	襁
繩	绳
繪	绘
繫	系
繭	茧
繮	缰
繯	缳
繰	缲
繳	缴
繶	𫄷
繹	绎
繻	𦈡
繼	继
繽	缤
繾	缱
纁	𫄸
纆	𬙊
纈	缬
纊	纩
續	续
纍	累
纏	缠
纓	缨
纔	才
纕	𬙋
纖	纤
纘	缵
纜	缆
缽	钵
缾	瓶
罃	䓨
罇	樽
罈	坛
罋	瓮
罌	罂
罎	坛
罰	罚
罵	骂
罷	罢
罸	罚
羅	罗
羆	罴
羈	羁
羋	芈
羗	羌
羢	绒
羣	群
羥	羟
羨	羡
義	义
羴	膻
羶	膻
翄	翅
習	习
翫	玩
翬	翚
翹	翘
翺	翱
翽	翙
耑	耑 专
耡	锄
耬	耧
耮	耢
聖	圣
聞	闻
聯	联
聰	聪
聲	声
聳	耸
聵	聩
聶	聂
職	职
聹	聍
聽	听
聾	聋
肅	肃
肎	肯
肐	胳
肧	胚
胷	胸
脃	脆
脅	胁
脇	胁
脈	脉
脗	吻
脛	胫
脣	唇
脩	修 脩
脫	脱
脹	胀
腎	肾
腖	胨
腡	脶
腦	脑
腫	肿
腳	脚
腸	肠
膃	腽
膓	肠
膕	腘
膚	肤
膞	䏝
膠	胶
膢	𦝼
膩	腻
膽	胆
膾	脍
膿	脓
臈	腊
臉	脸
臋	臀
臍	脐
臏	膑
臕	膘
臘	腊
臙	胭
臚	胪
臝	裸
臟	脏
臠	脔
臢	臜
臥	卧
臨	临
臯	皋
臺	台
與	与
興	兴
舉	举
舊	旧
舖	铺
舘	馆
舩	船
艙	舱
艢	樯
艣	橹
艤	舣
艦	舰
艪	橹
艫	舻
艱	艰
艷	艳
艸	草
芲	花
芻	刍
苧	苎
茘	荔
茲	兹
荊	荆
荍	荞
荳	豆
莊	庄
莖	茎
莢	荚
莧	苋
菉	菉 绿
